Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Azerbaijan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.078,0.044,0.066,0.072,0.092,0.107,0.120,0.120,0.132,0.140,0.177,0.228,0.305,0.717,0.947,1.608,1.473,1.477,3.080,3.246,3.368,3.427,2.901,1.397,1.529,1.672,1.854,2.238,2.703,2.991
Burundi,0.000,0.000,0.008,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.000,0.003,0.004,0.006,0.008,0.009,0.010,0.014,0.017,0.020,0.028,0.030,0.037,0.034,0.030,0.032,0.035,0.031,0.034,0.038,0.040,0.043,0.039,0.036,0.042,0.042,0.051,0.062,0.059,0.051,0.042,0.053,0.045,0.043,0.045,0.050,0.045,0.046,0.044,0.000,0.000,0.000,0.059,0.061,0.062,0.066,0.066,0.064,0.065,0.085,0.067,0.068,0.101
Belgium,0.383,0.391,0.422,0.445,0.497,0.501,0.563,0.608,0.646,0.675,0.748,0.829,1.027,1.297,1.482,1.928,2.110,2.497,3.167,3.632,3.959,3.385,2.892,2.672,2.407,2.428,3.404,4.163,4.097,3.881,4.644,4.625,4.131,3.746,3.944,4.449,4.242,3.684,3.664,3.598,3.191,3.036,3.147,3.876,4.263,4.228,4.308,5.164,6.296,5.621,5.245,5.499,5.169,5.263,5.192,4.202,4.255,4.433,4.840,4.761,5.317,6.239,6.867
Benin,0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.007,0.006,0.008,0.007,0.010,0.009,0.018,0.024,0.017,0.017,0.018,0.021,0.020,0.026,0.036,0.037,0.029,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.014,0.013,0.026,0.035,0.042,0.045,0.047,0.000,0.065,0.000,0.000,0.000,0.078,0.086,0.093,0.091,0.080,0.116,0.090,0.068,0.072,0.097,0.097
Burkina Faso,0.001,0.002,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.018,0.020,0.023,0.032,0.032,0.035,0.034,0.033,0.029,0.027,0.027,0.051,0.051,0.057,0.067,0.084,0.070,0.071,0.061,0.030,0.037,0.037,0.039,0.039,0.042,0.037,0.037,0.042,0.051,0.066,0.074,0.073,0.108,0.117,0.127,0.124,0.139,0.148,0.166,0.177,0.148,0.149,0.191,0.306,0.358,0.382,0.458,0.563
Bangladesh,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.072,0.081,0.105,0.129,0.135,0.136,0.167,0.174,0.185,0.232,0.244,0.225,0.249,0.288,0.332,0.379,0.373,0.382,0.428,0.471,0.547,0.620,0.639,0.682,0.702,0.737,0.741,0.705,0.682,0.719,0.771,0.774,0.830,0.953,1.030,1.259,1.625,1.802,1.823,2.048,2.356,2.815,3.240,3.266,3.650,4.349,4.651,4.966,4.806
Bulgaria,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.071,0.795,0.232,0.256,0.283,0.242,0.311,0.214,0.244,0.320,0.357,0.351,0.406,0.456,0.569,0.621,0.668,0.716,0.990,1.161,0.905,0.833,0.758,0.722,0.812,0.748,0.633,0.671,0.720,0.961,2.159,1.119,1.275,1.336
Bahrain,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.013,0.017,0.026,0.016,0.026,0.040,0.116,0.157,0.175,0.239,0.311,0.184,0.165,0.168,0.178,0.178,0.207,0.218,0.239,0.263,0.279,0.279,0.285,0.303,0.322,0.322,0.330,0.364,0.359,0.372,0.444,0.516,0.532,0.513,0.574,0.643,0.720,0.828,0.843,1.034,1.182,1.348,1.475,1.442,1.506,1.533,1.528,1.558,1.405,1.381,1.381
"Bahamas, The",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bosnia and Herzegovina,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.202,0.200,0.173,0.178,0.195,0.233,0.242,0.220,0.212,0.197,0.198,0.190,0.162,0.158,0.156,0.172,0.165,0.168,0.210,0.184
